rfm_score,segment,description,action
555,Champions,Top-tier donors with recent frequent high-value contributions,Reward and retain with exclusive engagement opportunities
554,Champions,Top-tier donors with recent frequent high-value contributions,Reward and retain with exclusive engagement opportunities
545,Champions,Top-tier donors with recent frequent high-value contributions,Reward and retain with exclusive engagement opportunities
544,Loyal Customers,Consistent supporters with strong giving patterns,Encourage upgrades and referral programs
455,Loyal Customers,Consistent supporters with strong giving patterns,Encourage upgrades and referral programs
454,Loyal Customers,Consistent supporters with strong giving patterns,Encourage upgrades and referral programs
445,Loyal Customers,Consistent supporters with strong giving patterns,Encourage upgrades and referral programs
444,Promising,Recent contributors showing potential for growth,Nurture with personalized stewardship
355,Promising,Recent contributors showing potential for growth,Nurture with personalized stewardship
354,Promising,Recent contributors showing potential for growth,Nurture with personalized stewardship
345,Promising,Recent contributors showing potential for growth,Nurture with personalized stewardship
344,New Donors,First-time or recent contributors with limited history,Welcome series and onboarding engagement
255,New Donors,First-time or recent contributors with limited history,Welcome series and onboarding engagement
254,New Donors,First-time or recent contributors with limited history,Welcome series and onboarding engagement
245,New Donors,First-time or recent contributors with limited history,Welcome series and onboarding engagement
244,Potential Loyalists,Contributors who could become loyal with right engagement,Targeted re-engagement campaigns
155,Potential Loyalists,Contributors who could become loyal with right engagement,Targeted re-engagement campaigns
154,Potential Loyalists,Contributors who could become loyal with right engagement,Targeted re-engagement campaigns
145,About to Sleep,Previously active donors showing declining engagement,Win-back campaign with impact stories
144,About to Sleep,Previously active donors showing declining engagement,Win-back campaign with impact stories
135,Need Attention,Moderate-value donors at risk of lapsing,Personalized outreach and impact reporting
134,Need Attention,Moderate-value donors at risk of lapsing,Personalized outreach and impact reporting
125,At Risk,High-value donors who have stopped giving,Urgent re-engagement with senior leadership contact
115,At Risk,High-value donors who have stopped giving,Urgent re-engagement with senior leadership contact
124,Cannot Lose Them,Premium donors with significant lifetime value near churn,Executive-level stewardship and exclusive invitations
114,Cannot Lose Them,Premium donors with significant lifetime value near churn,Executive-level stewardship and exclusive invitations
511,Hibernating,Long-inactive donors with very low engagement,Low-cost reactivation through digital channels
411,Hibernating,Long-inactive donors with very low engagement,Low-cost reactivation through digital channels
311,Hibernating,Long-inactive donors with very low engagement,Low-cost reactivation through digital channels
211,Lost,Completely inactive donors with minimal engagement,Archive or minimal reactivation attempt
111,Lost,Completely inactive donors with minimal engagement,Archive or minimal reactivation attempt
512,At Risk,Previously moderate donors showing decline,Re-engagement with targeted appeals
412,At Risk,Previously moderate donors showing decline,Re-engagement with targeted appeals
312,About to Sleep,Previously engaged donors becoming dormant,Win-back with impact-focused messaging
212,About to Sleep,Previously engaged donors becoming dormant,Win-back with impact-focused messaging
513,Need Attention,Recent moderate-value donors requiring stewardship,Personalized outreach and recognition
413,Need Attention,Recent moderate-value donors requiring stewardship,Personalized outreach and recognition
313,Need Attention,Recent moderate-value donors requiring stewardship,Personalized outreach and recognition
213,Cannot Lose Them,Previously high-value donors at risk of churning,Priority re-engagement program
113,Cannot Lose Them,Previously high-value donors at risk of churning,Priority re-engagement program
515,Promising,Recent high-value donors with growth potential,Accelerated stewardship pathway
415,Promising,Recent high-value donors with growth potential,Accelerated stewardship pathway
315,New Donors,Recent contributors building their relationship,Structured onboarding program
215,New Donors,Recent contributors building their relationship,Structured onboarding program
115,At Risk,High-value donors who have stopped giving,Urgent re-engagement with senior leadership contact
525,Promising,Frequent recent contributors with growing value,Reward frequency with recognition
425,Loyal Customers,Frequent supporters with established patterns,Maintain engagement and seek upgrades
325,Promising,Moderate frequency recent contributors,Nurture towards higher engagement
225,New Donors,Low-frequency recent contributors,Encourage repeat giving
535,Loyal Customers,High-frequency recent contributors,Recognize loyalty and seek referrals
